path,guid,width,height,spriteBorder,prefab_count,colors,prefabs
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/FakeWithdrawPanel/Bg_FakeNotCanWithdraw.png,afd1c8d9dbf40c7499f129fc3bf2f5d5,280,184,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/FakeWithdrawPanel/WithdrawAmountItem.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/GamePanel/Icon_DailyTask.png,09b819213bf567449aae1c155bb120cf,150,150,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/GamePanel/Resources/Resources/GameUiWidget.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/GetRewardPanel/Bg_DailyAd.png,7d401aa791a2dcc42a72a74ac2d0719d,1033,306,"{x: 516.5, y: 153, z: 516.5, w: 153}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/GetRewardPanel/GetRewardPanel.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/GetRewardPanel/Bg_DailyAdProgress.png,dad6510f5fee4404ca6c3110f8272d21,678,71,"{x: 339, y: 35.5, z: 339, w: 35.5}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/GetRewardPanel/GetRewardPanel.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/GetRewardPanel/Bg_DollarFill.png,d7f28e8da30c91a44b880ce48ab606f4,678,71,"{x: 339, y: 35.5, z: 339, w: 35.5}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/GetRewardPanel/GetRewardPanel.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/GetRewardPanel/Bg_DollardProgress.png,f75a19589102f954fbf59d236dc72825,678,71,"{x: 339, y: 35.5, z: 339, w: 35.5}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/GetRewardPanel/GetRewardPanel.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/GetRewardPanel/Bg_Level.png,8ab9ed028df8035418b21f0e21495294,1033,306,"{x: 516.5, y: 153, z: 516.5, w: 153}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/GetRewardPanel/GetRewardPanel.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/GetRewardPanel/Btn_GetReward.png,c13a1d985f7ef2b4382833895bb04a11,476,171,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 2}",Assets/BizzaWZ/Final/MenuSystem/Common/CurrencyBar/CurrencyBar.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/GetRewardPanel/Icon_RewardMax.png,bec9d9f52ac4e87428fb6c241a7e7bcc,90,45,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/GetRewardPanel/GetRewardPanel.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/RealWithdrawPanel/Icon_LevelState.png,53af7ab20f079624b9b143c3ade366d2,460,186,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/RealWithdrawalPanl/WithdrawLevelItem.prefab
